year_aired,imdb,monster_real,title,suspects_amount
1980,7,real,South Seas Scare,0
1980,7,real,Alaskan King Coward,0
1981,6.7,real,"Et Tu, Scoob?",1
1981,6.7,real,Soggy Bog Scooby,0
1981,7,real,Moonlight Madness,1
1981,7.1,real,Scooby at the Center of the World,0
1981,7.1,fake,Scooby's Trip to Ahz,0
1981,7.2,real,A Fright at the Opera,0
1981,7.1,real,Robot Ranch,0
1981,7.1,real,Surprised Spies,0
1981,7.2,real,The Invasion of the Scooby Snatchers,0
1981,7.4,fake,Scooby-Nocchio,0
1981,7.4,real,Lighthouse Keeper Scooby,0
1981,7.4,real,Scooby's Roots,1
1981,7.2,real,Scooby's Escape from Atlantis,0
1981,7.2,real,Excalibur Scooby,0
1981,7.1,real,Scooby Saves the World,0
1981,7.1,real,Rickshaw Scooby,0
1981,7.2,real,Scooby's Luck of the Irish,0
1981,7.1,real,Scooby's House of Mystery,0
1981,7.1,fake,Sweet Dreams Scooby,0
1981,7.1,real,Scooby-Doo 2000,0
1981,7.1,real,Punk Rock Scooby,0
1981,7.4,real,Canine to Five,1
1981,7.1,real,Hard Hat Scooby,0
1981,7.1,real,Hothouse Scooby,1
1981,7.1,real,Tenderbigfoot,0
1981,7.1,real,Scooby and the Beanstalk,0
1982,7.1,fake,Catfish Burglar Caper,1
1982,7.3,real,Movie Monster Menace,2
1982,7.4,fake,Comic Book Caper,2
1982,7.1,real,Scooby-Doo and Genie-Poo,0
1982,7.2,real,Close Encounter of the Worst Kind,0
1982,7.2,fake,Captain Canine Caper,1
1982,7,fake,The Incredible Cat Lady Caper,0
1982,7.1,real,One Million Years Before Lunch,0
1982,7.4,real,Where's the Wolf,0
1982,6.8,fake,Snow Job Too Small,1
1983,7.4,fake,Scooby the Barbarian,2
1983,7.4,fake,No Sharking Zone,2
1983,7.5,real,Scoobygeist,0
1983,7.5,fake,The Quagmire Quake Caper,4
1983,7.5,fake,Hound of the Scoobyvilles,2
1983,7.5,fake,The Dinosaur Deception,1
1983,7.7,fake,The Creature Came from The Chemlab,3
1983,7.7,fake,"No Thanks, Masked Manx",3
1983,7.2,fake,Scooby of the Jungle,2
1983,7.2,fake,"Scooby-Doo and Cyclops, Too",3
1983,7.5,fake,Scooby Roo,3
1983,7.3,real,Wizards and Warlocks,1
1983,7.3,fake,Scoobsie,3
1983,7.1,fake,The Crazy Carnival Caper,3
1983,7.4,fake,Scooby and the Minotaur,2
1983,7.4,fake,Scooby Pinch Hits,4
1983,7.2,fake,The Fall Dog,5
1983,7.2,fake,The Scooby Coupe,3
1983,6.5,real,Who's Minding the Monster,1
1983,6.5,fake,Scooby ala Mode,3
1983,6.5,fake,Where's Scooby-Doo?,4
1983,6.5,fake,Wedding Bell Boos!,7
1984,7.2,fake,"Happy Birthday, Scooby-Doo",4
1984,7.2,fake,Scooby's Peep-Hole Pandemonium,3
1984,7.2,fake,The Hand of Horror,5
1984,7.5,fake,Scoo-Be or Not Scoo-Be?,3
1984,7.5,fake,The Stoney Glare Stare,4
1984,7,fake,Mission: Un-Doo-Able,3
1984,7,fake,The Bee Team,3
1984,7.1,fake,Doom Service,3
1984,6.9,fake,Ghost of the Ancient Astronauts,4
1984,7.2,fake,The Night of Living Toys,3
1984,7.2,fake,South Pole Vault,4
1984,8,fake,A Halloween Hassle at Dracula's Castle,4
1984,7.5,fake,A Night Louse at the White House,6
1984,7.3,fake,Showboat Scooby,3
1984,7.6,fake,Sherlock Doo,6
1984,7,fake,A Scarey Duel with a Cartoon Ghoul,4
1984,7,fake,E*I*E*I*O,4
1984,7.9,fake,The Nutcracker Scoob,5
1985,7.7,real,To All the Ghouls I've Loved Before,2
1985,7.6,real,Scoobra Kadoobra,2
1985,7.3,real,Me and My Shadow Demon,2
1985,7.2,real,Reflections in the Ghoulish Eye,4
1985,7.9,real,That's Monstertainment,2
1985,7.5,real,Ship of Ghouls,2
1985,7.6,real,A Spooky Little Ghoul Like You,1
1985,7.1,real,When You Witch Upon a Star,1
1985,7.4,real,It's a Wonderful Scoob,1
1985,7.7,real,Scooby in Kwacky Land,3
1985,7.4,real,Coast-to-Ghost,2
1985,7.4,real,The Ghouliest Show on Earth,1
1985,7.4,real,Horror-Scope Scoob,1
1987,7.1,fake,Scooby-Doo Meets the Boo Brothers,4
1988,7.3,fake,A Bicycle Built for Boo,2
1988,7.5,fake,The Sludge Monster from the Earth's Core,2
1988,8,fake,The Schnoock Who Took My Comic Book,3
1988,7.5,fake,Wanted Cheddar Alive,3
1988,7.4,fake,For Letter or Worse,4
1988,7.6,fake,The Babysitter from Beyond,2
1988,6.9,real,Scooby-Doo and the Ghoul School,17
1988,7.8,fake,Snow Place Like Home,3
1988,7.7,fake,"Now Museum, Now You Don't",3
1988,7,fake,Scooby Dude,3
